iter	RMSE
0	40.58931848
1	38.54331274
2	36.58872198
3	34.6661656
4	32.81734557
5	31.12399595
6	29.56290664
7	28.04795207
8	26.66741015
9	25.33332815
10	24.01421431
11	22.83174836
12	21.77219643
13	20.69854482
14	19.70064274
15	18.7554731
16	17.83640033
17	17.00886619
18	16.2226098
19	15.51872067
20	14.81618721
21	14.15829423
22	13.56143089
23	13.01285149
24	12.45050902
25	11.93445154
26	11.51037001
27	11.07387938
28	10.62469778
29	10.24373216
30	9.886834434
31	9.560321404
32	9.228391585
33	8.916389071
34	8.623722033
35	8.383320494
36	8.145944283
37	7.93216848
38	7.728027291
39	7.533026462
40	7.351238631
41	7.181980772
42	7.01995302
43	6.872528475
44	6.728292712
45	6.605724947
46	6.479067412
47	6.365152333
48	6.273085408
49	6.178356075
50	6.089269357
51	6.015399021
52	5.950546412
53	5.876738276
54	5.810262267
55	5.745110999
56	5.69128929
57	5.639119075
58	5.593408328
59	5.544837914
60	5.498816521
61	5.456469029
62	5.421638555
63	5.387640143
64	5.348976643
65	5.318851625
66	5.290069942
67	5.26743803
68	5.242659061
69	5.208614706
70	5.178619091
71	5.157809696
72	5.135101506
73	5.115039263
74	5.096800297
75	5.079619006
76	5.063821778
77	5.049641039
78	5.039554664
79	5.02505364
80	5.013167737
81	4.995725433
82	4.98136448
83	4.969883121
84	4.957386499
85	4.94649949
86	4.939113205
87	4.931233793
88	4.922407373
89	4.915984808
90	4.910131292
91	4.897884154
92	4.889375605
93	4.87747825
94	4.87101095
95	4.862323281
96	4.856871053
97	4.851932372
98	4.847125636
99	4.838313602
100	4.834092527
101	4.824119353
102	4.814045106
103	4.808166569
104	4.80272094
105	4.796899376
106	4.789805208
107	4.777383634
108	4.769784912
109	4.766116637
110	4.761596655
111	4.756351483
112	4.751471193
113	4.746955783
114	4.740653858
115	4.730991143
116	4.726831346
117	4.718431112
118	4.71025323
119	4.705255878
120	4.696814353
121	4.689897241
122	4.682865218
123	4.677550021
124	4.671882321
125	4.667970627
