iter	Passed	Remaining
0	2	1248
1	4	1020
2	5	938
3	7	907
4	8	885
5	10	843
6	11	795
7	12	792
8	14	795
9	16	796
10	17	794
11	19	792
12	20	772
13	22	769
14	23	768
15	25	765
16	26	766
17	28	765
18	30	765
19	31	765
20	33	766
21	35	764
22	36	764
23	38	759
24	39	758
25	41	752
26	42	750
27	44	751
28	46	751
29	47	749
30	49	749
31	51	747
32	52	744
33	54	743
34	55	741
35	57	737
36	58	733
37	60	732
38	61	731
39	63	730
40	65	729
41	66	728
42	68	727
43	69	725
44	71	722
45	72	718
46	74	716
47	75	714
48	77	713
49	79	712
50	80	711
51	81	705
52	83	703
53	85	702
54	86	699
55	87	696
56	89	695
57	91	693
58	92	692
59	94	690
60	95	689
61	97	688
62	99	687
63	100	685
64	102	684
65	103	680
66	105	678
67	106	677
68	108	675
69	109	674
70	111	673
71	113	672
72	114	671
73	116	670
74	118	669
75	119	667
76	121	666
77	122	665
78	124	663
79	126	662
80	127	661
81	129	658
82	130	657
83	132	656
84	133	653
85	135	651
86	137	650
87	138	648
88	140	647
89	141	645
90	143	644
91	145	643
92	146	641
93	148	640
94	149	637
95	151	636
96	152	635
97	154	633
98	156	632
99	157	630
100	159	628
101	160	627
102	162	626
103	163	623
104	165	621
105	166	620
106	168	618
107	169	616
108	171	615
109	173	614
110	174	612
111	176	611
112	177	609
113	179	607
114	180	605
115	182	604
116	184	602
117	185	601
118	187	600
119	189	598
120	190	597
121	192	596
122	193	594
123	195	591
124	196	590
125	198	588
126	199	586
127	201	585
128	203	584
129	204	582
130	206	581
131	207	579
132	208	576
133	210	574
134	211	571
135	213	570
136	214	568
137	216	567
138	217	566
139	219	564
140	220	562
141	222	561
142	224	559
143	225	557
144	227	555
145	228	554
146	230	552
147	231	551
148	233	549
149	234	547
150	236	546
151	238	545
152	239	543
153	241	541
154	242	539
155	244	538
156	245	536
157	247	534
158	248	533
159	250	531
160	251	530
161	253	528
162	255	527
163	256	525
164	258	524
165	259	522
166	261	521
167	263	519
168	264	518
169	266	516
170	267	515
171	269	513
172	271	512
173	272	510
174	273	508
175	275	506
176	276	505
177	278	503
178	280	502
179	281	500
180	283	499
181	284	497
182	286	496
183	287	494
184	289	492
185	290	490
186	292	489
187	294	488
188	295	486
189	296	484
190	298	482
191	299	480
192	300	478
193	302	476
194	303	474
195	304	472
196	306	470
197	307	468
198	308	466
199	310	465
200	311	464
201	313	462
202	315	461
203	316	459
204	318	458
205	319	456
206	321	454
207	322	453
208	324	451
209	325	449
210	326	447
211	328	445
212	329	444
213	331	442
214	332	441
215	334	439
216	335	437
217	337	436
218	338	434
219	340	433
220	341	431
221	343	429
222	345	428
223	346	427
224	348	425
225	349	424
226	351	422
227	353	421
228	354	420
229	356	418
230	358	417
231	359	415
232	361	414
233	363	412
234	364	410
235	365	408
236	367	407
237	368	406
238	370	404
239	372	403
240	373	401
241	375	400
242	377	398
243	378	397
244	379	395
245	381	393
246	382	392
247	384	390
248	386	389
249	387	387
250	389	386
251	390	384
252	392	383
253	394	381
254	395	379
255	396	378
256	398	376
257	399	375
258	401	373
259	403	372
260	404	370
261	406	369
262	407	367
263	409	366
264	411	364
265	412	363
266	414	361
267	416	360
268	417	358
269	419	357
270	420	355
271	422	354
272	423	352
273	425	351
274	427	349
275	428	347
276	430	346
277	431	344
278	433	343
279	435	341
280	436	340
281	438	338
282	440	337
283	441	335
284	442	334
285	444	332
286	446	331
287	447	329
288	449	328
289	450	326
290	452	325
291	454	323
292	455	322
293	457	320
294	458	318
295	460	317
296	461	315
297	463	314
298	464	312
299	466	311
300	468	309
301	469	307
302	471	306
303	472	304
304	474	303
305	475	301
306	477	300
307	478	298
308	480	296
309	481	295
310	483	293
311	484	292
312	486	290
313	488	289
314	489	287
315	490	285
316	492	284
317	494	282
318	495	281
319	497	279
320	498	278
321	500	276
322	502	275
323	503	273
324	505	271
325	506	270
326	508	268
327	509	267
328	511	265
329	512	264
330	514	262
331	516	261
332	517	259
333	519	258
334	521	256
335	522	255
336	524	253
337	525	251
338	527	250
339	528	248
340	530	247
341	532	245
342	533	244
343	535	242
344	536	240
345	537	239
346	539	237
347	540	236
348	542	234
349	544	233
350	545	231
351	547	230
352	548	228
353	550	226
354	551	225
355	553	223
356	554	222
357	556	220
358	558	219
359	559	217
360	561	216
361	563	214
362	564	213
363	566	211
364	567	209
365	569	208
366	571	206
367	572	205
368	574	203
369	575	202
370	577	200
371	579	199
372	580	197
373	581	196
374	583	194
375	585	192
376	586	191
377	588	189
378	589	188
379	591	186
380	593	185
381	594	183
382	596	182
383	597	180
384	599	179
385	601	177
386	602	176
387	604	174
388	606	172
389	607	171
390	609	169
391	610	168
392	612	166
393	613	165
394	615	163
395	616	162
396	618	160
397	620	158
398	621	157
399	623	155
400	624	154
401	626	152
402	628	151
403	629	149
404	631	148
405	633	146
406	634	145
407	636	143
408	638	141
409	639	140
410	641	138
411	642	137
412	643	135
413	645	134
414	646	132
415	648	130
416	650	129
417	651	127
418	653	126
419	654	124
420	656	123
421	658	121
422	660	120
423	662	118
424	663	117
425	665	115
426	666	114
427	668	112
428	669	110
429	671	109
430	672	107
431	674	106
432	675	104
433	676	102
434	678	101
435	679	99
436	681	98
437	682	96
438	684	95
439	686	93
440	687	92
441	689	90
442	690	88
443	692	87
444	693	85
445	695	84
446	697	82
447	698	81
448	699	79
449	701	77
450	703	76
451	704	74
452	706	73
453	707	71
454	709	70
455	711	68
456	712	67
457	714	65
458	715	63
459	717	62
460	719	60
461	720	59
462	722	57
463	723	56
464	725	54
465	726	53
466	728	51
467	729	49
468	731	48
469	733	46
470	734	45
471	736	43
472	738	42
473	739	40
474	741	39
475	742	37
476	744	35
477	746	34
478	747	32
479	749	31
480	750	29
481	752	28
482	754	26
483	755	24
484	757	23
485	758	21
486	760	20
487	762	18
488	763	17
489	765	15
490	767	14
491	768	12
492	770	10
493	771	9
494	773	7
495	775	6
496	776	4
497	778	3
498	779	1
499	781	0
